player,player_id,position,team_name,grades_defense,grades_run_defense,snap_counts_run,rank,Year
Danny Trevathan,7177,LB,DEN,80.5,79.1,370,10.0,2015
Thomas Davis Sr.,2231,LB,CAR,80.0,59.1,372,11.0,2015
Benardrick McKinney,9476,LB,HST,77.5,72.5,244,12.0,2015
Karlos Dansby,1754,LB,CLV,77.5,65.4,437,12.0,2015
Brandon Marshall,7648,LB,DEN,77.1,83.4,402,14.0,2015
Vontaze Burfict,7280,LB,CIN,76.7,91.1,201,15.0,2015
Rolando McClain,5533,LB,DAL,75.0,64.5,304,16.0,2015
Zachary Orr,9326,LB,BLT,72.6,76.2,21,17.0,2015
Josh Mauga,5491,LB,KC,72.0,60.9,228,18.0,2015
Deone Bucannon,8662,LB,ARZ,70.2,51.1,403,19.0,2015
David Harris,3663,LB,NYJ,69.8,66.6,334,20.0,2015
Bobby Wagner,7050,LB,SEA,69.3,78.3,379,21.0,2015
Rey Maualuga,4961,LB,CIN,69.2,65.4,290,22.0,2015
Koa Misi,5565,LB,MIA,68.7,74.5,328,23.0,2015
Josh Bynes,6503,LB,DET,68.5,72.5,327,24.0,2015
Telvin Smith Sr.,8779,LB,JAX,68.3,63.5,375,25.0,2015
Mark Barron,7013,LB,LA,67.8,75.9,344,26.0,2015
Christian Jones,9020,LB,CHI,67.3,57.0,301,27.0,2015
Manny Lawson,2967,LB,BUF,65.0,58.4,288,28.0,2015
Lavonte David,7060,LB,TB,63.9,57.0,462,29.0,2015
NaVorro Bowman,5615,LB,SF,63.8,82.0,468,30.0,2015
Daryl Smith,1760,LB,BLT,63.3,71.1,392,31.0,2015
Clay Matthews,4949,LB,GB,62.6,58.0,414,32.0,2015
Craig Robertson,7003,LB,CLV,62.6,49.2,214,32.0,2015
Avery Williamson,8786,LB,TEN,62.2,72.6,402,34.0,2015
Ryan Shazier,8650,LB,PIT,61.8,62.1,276,35.0,2015
Paul Posluszny,3650,LB,JAX,61.1,58.0,373,36.0,2015
Stephen Tulloch,3061,LB,DET,60.8,77.4,347,37.0,2015
J.T. Thomas,6347,LB,NYG,60.4,50.7,210,38.0,2015
D'Qwell Jackson,2979,LB,IND,60.1,64.7,441,39.0,2015
Justin Durant,3664,LB,ATL,58.0,53.8,251,40.0,2015
Shea McClellin,7025,LB,CHI,57.8,66.6,285,41.0,2015
Chad Greenway,2962,LB,MIN,55.7,49.2,309,42.0,2015
Stephone Anthony,9464,LB,NO,55.3,68.6,394,43.0,2015
Brian Cushing,4938,LB,HST,55.2,61.8,399,44.0,2015
DeMeco Ryans,2978,LB,PHI,53.6,57.2,302,45.0,2015
Malcolm Smith,6394,LB,LV,53.3,37.0,389,46.0,2015
Demario Davis,7079,LB,NYJ,52.5,52.7,288,47.0,2015
Kelvin Sheppard,6220,LB,MIA,52.3,59.1,357,48.0,2015
Michael Wilhoite,6989,LB,SF,51.8,69.5,294,49.0,2015
Mychal Kendricks,7049,LB,PHI,51.5,76.1,259,50.0,2015
Hau'oli Kikaha,9477,LB,NO,50.9,59.2,218,51.0,2015
Kevin Minter,7826,LB,ARZ,50.4,55.5,396,52.0,2015
Jonathan Casillas,5422,LB,NYG,48.4,49.8,213,53.0,2015
Paul Worrilow,8141,LB,ATL,46.4,41.6,371,54.0,2015
Manti Te'o,7819,LB,LAC,44.2,41.5,277,55.0,2015
James Laurinaitis,4958,LB,LA,43.7,37.3,435,56.0,2015
Will Compton,8308,LB,WAS,43.6,47.6,308,57.0,2015
Curtis Lofton,4351,LB,LV,42.3,59.1,269,58.0,2015
Kwon Alexander,9557,LB,TB,41.5,36.6,319,59.0,2015
Lawrence Timmons,3631,LB,PIT,40.4,44.7,430,60.0,2015
Donald Butler,5603,LB,LAC,39.5,48.4,239,61.0,2015
Keenan Robinson,7119,LB,WAS,39.3,28.5,208,62.0,2015
Nate Palmer,7974,LB,GB,38.3,47.7,233,63.0,2015
Preston Brown,8708,LB,BUF,37.4,42.1,395,64.0,2015
Luke Kuechly,7015,LB,CAR,90.2,76.5,396,1.0,2014
Chris Borland,8712,LB,SF,89.7,90.7,209,2.0,2014
Mychal Kendricks,7049,LB,PHI,88.7,64.8,308,3.0,2014
Karlos Dansby,1754,LB,CLV,86.5,73.5,328,4.0,2014
Jamie Collins Sr.,7833,LB,NE,85.3,78.4,412,5.0,2014
Dont'a Hightower,7030,LB,NE,82.4,76.3,371,6.0,2014
Thomas Davis Sr.,2231,LB,CAR,82.2,64.8,368,7.0,2014
Rolando McClain,5533,LB,DAL,81.8,71.4,268,8.0,2014
Brandon Marshall,7648,LB,DEN,77.4,67.1,272,9.0,2014
Daryl Smith,1760,LB,BLT,76.5,76.6,407,10.0,2014
Koa Misi,5565,LB,MIA,74.5,65.3,252,11.0,2014
Lavonte David,7060,LB,TB,71.2,67.9,369,12.0,2014
DeAndre Levy,4999,LB,DET,71.0,83.4,367,13.0,2014
Mike Mohamed,6341,LB,HST,70.5,57.1,142,14.0,2014
Anthony Barr,8644,LB,MIN,70.4,63.2,321,15.0,2014
Craig Robertson,7003,LB,CLV,68.8,60.5,331,16.0,2014
Geno Hayes,4489,LB,JAX,68.2,66.7,300,17.0,2014
Jerrell Freeman,4888,LB,IND,67.5,41.9,374,18.0,2014
Lawrence Timmons,3631,LB,PIT,67.1,78.7,370,19.0,2014
Bruce Irvin,7021,LB,SEA,66.9,72.6,325,20.0,2014
K.J. Wright,6251,LB,SEA,66.8,62.5,440,21.0,2014
David Harris,3663,LB,NYJ,66.3,60.1,384,22.0,2014
Preston Brown,8708,LB,BUF,65.6,61.5,380,23.0,2014
Nigel Bradham,7105,LB,BUF,65.2,60.2,340,24.0,2014
Danny Lansanah,4713,LB,TB,64.5,64.5,301,25.0,2014
Avery Williamson,8786,LB,TEN,64.4,68.1,378,26.0,2014
Demario Davis,7079,LB,NYJ,62.4,68.4,388,27.0,2014
Michael Wilhoite,6989,LB,SF,61.8,56.5,395,28.0,2014
Tahir Whitehead,7135,LB,DET,61.5,67.8,264,29.0,2014
Kevin Minter,7826,LB,ARZ,61.3,74.6,181,30.0,2014
Jelani Jenkins,7886,LB,MIA,61.3,54.7,363,30.0,2014
James Laurinaitis,4958,LB,LA,61.2,55.5,412,32.0,2014
Vincent Rey,5811,LB,CIN,59.1,68.6,387,33.0,2014
Brian Cushing,4938,LB,HST,58.3,54.0,314,34.0,2014
Joplo Bartu,8455,LB,ATL,57.3,62.2,242,35.0,2014
Keenan Robinson,7119,LB,WAS,57.1,53.5,324,36.0,2014
Sam Barrington,8015,LB,GB,57.1,48.4,241,36.0,2014
Jon Bostic,7831,LB,CHI,56.9,67.1,245,38.0,2014
Wesley Woodyard,4583,LB,TEN,54.8,49.4,429,39.0,2014
Jacquian Williams,6354,LB,NYG,54.4,62.4,235,40.0,2014
Josh Mauga,5491,LB,KC,54.2,45.5,407,41.0,2014
David Hawthorne,4693,LB,NO,53.6,57.4,313,42.0,2014
Shea McClellin,7025,LB,CHI,53.0,75.2,233,43.0,2014
Alec Ogletree,7811,LB,LA,52.8,52.2,409,44.0,2014
D'Qwell Jackson,2979,LB,IND,52.5,60.7,468,45.0,2014
Perry Riley,5627,LB,WAS,52.4,61.1,351,46.0,2014
Kavell Conner,5763,LB,LAC,52.1,65.5,213,47.0,2014
Sio Moore,7847,LB,LV,51.9,55.7,306,48.0,2014
Jameel McClain,4788,LB,NYG,51.4,48.4,399,49.0,2014
Albert McClellan,6022,LB,BLT,50.8,57.4,12,50.0,2014
Emmanuel Lamur,7561,LB,CIN,50.8,51.3,381,50.0,2014
A.J. Hawk,2950,LB,GB,50.2,49.9,397,52.0,2014
Curtis Lofton,4351,LB,NO,50.2,48.1,424,52.0,2014
Casey Matthews,6268,LB,PHI,49.4,58.0,223,54.0,2014
Sean Spence,7087,LB,PIT,49.3,55.1,225,55.0,2014
Steven Johnson,7298,LB,DEN,49.3,50.3,126,55.0,2014
Paul Worrilow,8141,LB,ATL,47.1,50.3,433,57.0,2014
Chad Greenway,2962,LB,MIN,46.0,46.7,315,58.0,2014
J.T. Thomas,6347,LB,JAX,46.0,42.1,338,58.0,2014
James-Michael Johnson,7120,LB,KC,45.4,38.7,240,60.0,2014
Anthony Hitchens,8754,LB,DAL,44.3,62.9,268,61.0,2014
Larry Foote,1126,LB,ARZ,41.0,55.6,385,62.0,2014
Donald Butler,5603,LB,LAC,40.7,49.6,296,63.0,2014
Miles Burris,7129,LB,LV,29.4,30.9,478,64.0,2014
NaVorro Bowman,5615,LB,SF,90.6,78.4,461,1.0,2013
Patrick Willis,3627,LB,SF,88.7,84.8,402,2.0,2013
Lavonte David,7060,LB,TB,86.0,74.6,399,3.0,2013
Derrick Johnson,2232,LB,KC,85.9,67.3,377,4.0,2013
Thomas Davis Sr.,2231,LB,CAR,83.1,72.2,369,5.0,2013
Stephen Tulloch,3061,LB,DET,81.7,75.5,366,6.0,2013
Karlos Dansby,1754,LB,ARZ,81.1,66.6,352,7.0,2013
Kiko Alonso,7827,LB,BUF,80.4,65.5,469,8.0,2013
Vontaze Burfict,7280,LB,CIN,78.0,72.1,392,9.0,2013
Luke Kuechly,7015,LB,CAR,77.0,78.6,369,10.0,2013
Akeem Jordan,4270,LB,KC,75.3,79.5,233,11.0,2013
Danny Trevathan,7177,LB,DEN,73.4,77.8,413,12.0,2013
Sean Lee,5580,LB,DAL,73.1,71.4,230,13.0,2013
Daryl Washington,5572,LB,ARZ,72.9,51.3,257,14.0,2013
Daryl Smith,1760,LB,BLT,72.2,54.1,428,15.0,2013
Arthur Moats,5701,LB,BUF,72.1,72.7,181,16.0,2013
K.J. Wright,6251,LB,SEA,72.1,62.0,297,16.0,2013
Dont'a Hightower,7030,LB,NE,71.7,84.8,431,18.0,2013
Jerrell Freeman,4888,LB,IND,71.1,59.7,442,19.0,2013
DeAndre Levy,4999,LB,DET,69.7,57.7,364,20.0,2013
Brandon Spikes,5587,LB,NE,69.3,73.9,365,21.0,2013
James Laurinaitis,4958,LB,LA,67.3,61.6,425,22.0,2013
David Harris,3663,LB,NYJ,67.2,73.6,415,23.0,2013
Bobby Wagner,7050,LB,SEA,66.9,60.7,419,24.0,2013
Nick Roach,4054,LB,LV,66.4,48.2,431,25.0,2013
Curtis Lofton,4351,LB,NO,65.9,62.7,414,26.0,2013
Erin Henderson,4656,LB,MIN,65.4,79.1,331,27.0,2013
Akeem Ayers,6191,LB,TEN,64.5,73.3,304,28.0,2013
Lawrence Timmons,3631,LB,PIT,64.1,59.9,422,29.0,2013
Paul Posluszny,3650,LB,JAX,63.4,60.7,455,30.0,2013
Geno Hayes,4489,LB,JAX,63.0,51.4,390,31.0,2013
Alec Ogletree,7811,LB,LA,63.0,63.4,414,31.0,2013
Wesley Woodyard,4583,LB,DEN,61.9,65.4,281,33.0,2013
A.J. Hawk,2950,LB,GB,61.3,40.0,440,34.0,2013
Spencer Paysinger,6419,LB,NYG,61.0,60.3,307,35.0,2013
Joe Mays,4514,LB,HST,60.9,64.1,295,36.0,2013
Zach Brown,7055,LB,TEN,60.7,57.4,335,37.0,2013
Brad Jones,5142,LB,GB,60.5,52.9,303,38.0,2013
D'Qwell Jackson,2979,LB,CLV,60.2,51.9,449,39.0,2013
Rey Maualuga,4961,LB,CIN,59.6,68.8,296,40.0,2013
Joplo Bartu,8455,LB,ATL,59.4,74.2,349,41.0,2013
Mason Foster,6236,LB,TB,59.2,51.8,354,42.0,2013
Bruce Carter,6192,LB,DAL,59.1,45.5,319,43.0,2013
Dannell Ellerbe,5442,LB,MIA,59.1,48.0,409,43.0,2013
Manti Te'o,7819,LB,LAC,58.9,40.6,289,45.0,2013
Donald Butler,5603,LB,LAC,58.0,57.0,320,46.0,2013
Paul Worrilow,8141,LB,ATL,57.1,59.8,343,47.0,2013
Vince Williams,7988,LB,PIT,56.9,58.0,220,48.0,2013
James Anderson,3033,LB,CHI,56.2,37.1,456,49.0,2013
Perry Riley,5627,LB,WAS,56.1,53.6,421,50.0,2013
DeMeco Ryans,2978,LB,PHI,56.0,58.0,443,51.0,2013
Kevin Burnett,2259,LB,LV,54.9,75.2,380,52.0,2013
Darryl Sharpton,5626,LB,HST,54.4,79.6,339,53.0,2013
Mychal Kendricks,7049,LB,PHI,53.2,66.6,375,54.0,2013
Jameel McClain,4788,LB,BLT,52.9,40.1,204,55.0,2013
Demario Davis,7079,LB,NYJ,52.7,59.2,411,56.0,2013
Kelvin Sheppard,6220,LB,IND,51.1,45.7,245,57.0,2013
David Hawthorne,4693,LB,NO,50.2,47.0,383,58.0,2013
Philip Wheeler,4407,LB,MIA,48.0,48.8,432,59.0,2013
Jon Beason,3641,LB,NYG,48.0,66.6,307,59.0,2013
Chad Greenway,2962,LB,MIN,47.7,47.4,412,61.0,2013
Craig Robertson,7003,LB,CLV,47.0,63.5,331,62.0,2013
Jon Bostic,7831,LB,CHI,47.0,36.5,300,62.0,2013
London Fletcher,424,LB,WAS,45.3,29.4,408,64.0,2013
Patrick Willis,3627,LB,SF,90.4,91.6,444,1.0,2012
NaVorro Bowman,5615,LB,SF,88.1,89.9,445,2.0,2012
Lawrence Timmons,3631,LB,PIT,87.7,69.6,381,3.0,2012
Bobby Wagner,7050,LB,SEA,84.1,89.0,378,4.0,2012
Daryl Washington,5572,LB,ARZ,82.8,83.9,490,5.0,2012
Derrick Johnson,2232,LB,KC,79.7,82.5,452,6.0,2012
Kaluka Maiava,5027,LB,CLV,78.6,70.5,291,7.0,2012
Brad Jones,5142,LB,GB,77.9,73.3,319,8.0,2012
Karlos Dansby,1754,LB,MIA,76.0,84.0,405,9.0,2012
Jerod Mayo,4324,LB,NE,75.6,77.7,447,10.0,2012
DeMeco Ryans,2978,LB,PHI,73.4,83.8,467,11.0,2012
Kavell Conner,5763,LB,IND,72.9,76.2,201,12.0,2012
Thomas Davis Sr.,2231,LB,CAR,72.8,69.1,282,13.0,2012
Luke Kuechly,7015,LB,CAR,72.5,78.2,378,14.0,2012
Bruce Carter,6192,LB,DAL,72.0,76.5,268,15.0,2012
Wesley Woodyard,4583,LB,DEN,71.8,57.5,362,16.0,2012
Philip Wheeler,4407,LB,LV,71.4,62.1,422,17.0,2012
Kevin Burnett,2259,LB,MIA,71.0,75.5,393,18.0,2012
Jerrell Freeman,4888,LB,IND,70.6,64.3,446,19.0,2012
D'Qwell Jackson,2979,LB,CLV,70.6,59.1,436,19.0,2012
Lance Briggs,1383,LB,CHI,70.0,62.9,361,21.0,2012
A.J. Hawk,2950,LB,GB,69.9,76.1,428,22.0,2012
Kelvin Sheppard,6220,LB,BUF,69.8,61.7,301,23.0,2012
Tim Dobbins,3096,LB,HST,69.7,74.9,133,24.0,2012
Paul Posluszny,3650,LB,JAX,69.4,74.0,517,25.0,2012
Lavonte David,7060,LB,TB,69.1,73.5,363,26.0,2012
Stephen Tulloch,3061,LB,DET,68.7,61.6,395,27.0,2012
James Laurinaitis,4958,LB,LA,68.4,67.8,417,28.0,2012
Nick Barnett,1345,LB,BUF,68.2,71.3,433,29.0,2012
Brandon Spikes,5587,LB,NE,67.9,89.0,372,30.0,2012
Dannell Ellerbe,5442,LB,BLT,67.9,76.3,357,30.0,2012
Donald Butler,5603,LB,LAC,67.3,71.1,254,32.0,2012
K.J. Wright,6251,LB,SEA,67.0,64.1,348,33.0,2012
Zach Brown,7055,LB,TEN,66.9,60.0,348,34.0,2012
Takeo Spikes,337,LB,LAC,66.7,70.6,312,35.0,2012
Perry Riley,5627,LB,WAS,66.0,62.1,376,36.0,2012
Mason Foster,6236,LB,TB,63.8,64.7,333,37.0,2012
Vontaze Burfict,7280,LB,CIN,63.2,70.9,390,38.0,2012
Chad Greenway,2962,LB,MIN,63.1,58.9,420,39.0,2012
Jovan Belcher,5449,LB,KC,63.1,77.5,199,39.0,2012
Curtis Lofton,4351,LB,NO,62.5,70.8,449,41.0,2012
JoLonn Dunbar,4588,LB,LA,62.4,70.1,412,42.0,2012
Nick Roach,4054,LB,CHI,62.1,62.3,299,43.0,2012
Dan Connor,4388,LB,DAL,61.9,56.8,175,44.0,2012
Bart Scott,1303,LB,NYJ,61.6,61.5,337,45.0,2012
Sean Weatherspoon,5544,LB,ATL,61.0,48.3,378,46.0,2012
Keith Brooking,336,LB,DEN,60.9,55.0,252,47.0,2012
Jameel McClain,4788,LB,BLT,60.2,57.5,338,48.0,2012
Russell Allen,5263,LB,JAX,60.0,59.1,506,49.0,2012
Larry Foote,1126,LB,PIT,59.7,52.2,381,50.0,2012
Akeem Ayers,6191,LB,TEN,59.7,67.0,402,50.0,2012
David Harris,3663,LB,NYJ,59.5,60.1,496,52.0,2012
Bradie James,1416,LB,HST,59.3,60.3,317,53.0,2012
Chase Blackburn,2498,LB,NYG,59.0,62.1,383,54.0,2012
Justin Durant,3664,LB,DET,58.5,68.5,350,55.0,2012
Jonathan Vilma,1733,LB,NO,57.7,53.7,217,56.0,2012
Mychal Kendricks,7049,LB,PHI,55.4,56.2,419,57.0,2012
Michael Boley,2377,LB,NYG,55.4,57.9,327,57.0,2012
London Fletcher,424,LB,WAS,53.5,51.0,372,59.0,2012
Miles Burris,7129,LB,LV,51.7,59.8,385,60.0,2012
Stephen Nicholas,3725,LB,ATL,51.1,58.2,407,61.0,2012
Paris Lenon,751,LB,ARZ,50.9,49.2,461,62.0,2012
Jasper Brinkley,5074,LB,MIN,46.9,67.4,360,63.0,2012
Rey Maualuga,4961,LB,CIN,42.4,67.2,427,64.0,2012
