player,player_id,position,team_name,grades_offense,grades_run_block,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Joe Staley,3644,T,SF,92.2,92.4,1152,2.0,2016,1828,Joe Staley,2016,28,6,"$44,650,000",7441667
Duane Brown,4340,T,HST,90.1,88.5,1265,3.0,2016,1797,Duane Brown,2016,30,6,"$53,400,000",8900000
Max Unger,4972,C,SEA,86.2,87.0,1115,4.0,2016,1142,Max Unger,2016,30,3,"$22,200,000",7400000
Logan Mankins,2249,G,NE,84.9,88.8,895,5.0,2016,1999,Logan Mankins,2016,34,6,"$51,000,000",8500000
Ryan Wendell,4602,C,NE,84.9,86.8,1383,5.0,2016,1172,Ryan Wendell,2016,29,1,"$885,000",885000
Nick Mangold,2974,C,NYJ,84.8,84.0,1066,7.0,2016,2014,Nick Mangold,2016,31,7,"$54,075,000",7725000
John Sullivan,4501,C,MIN,84.7,83.9,1096,8.0,2016,1101,John Sullivan,2016,30,1,"$885,000",885000
Marshal Yanda,3702,G,BLT,84.2,82.4,1194,10.0,2016,1317,Marshal Yanda,2016,32,4,"$31,917,647",7979412
Jon Asamoah,5593,G,KC,83.5,80.4,989,12.0,2016,1475,Jon Asamoah,2016,27,5,"$22,500,000",4500000
Alex Boone,5372,G,SF,82.4,81.8,1195,14.0,2016,1012,Alex Boone,2016,28,4,"$26,800,000",6700000
Mike Iupati,5542,G,SF,81.8,86.6,1173,17.0,2016,1333,Mike Iupati,2016,28,5,"$40,000,000",8000000
Ben Grubbs,3645,G,NO,81.6,80.4,1107,18.0,2016,1220,Ben Grubbs,2016,32,2,"$10,100,000",5050000
Andre Smith,4929,T,CIN,81.2,86.3,1095,19.0,2016,1017,Andre Smith,2016,29,1,"$3,500,000",3500000
Ryan Clady,4326,T,DEN,81.1,68.7,1206,20.0,2016,1167,Ryan Clady,2016,29,1,"$6,000,000",6000000
Nate Solder,6169,T,NE,81.0,80.7,1383,21.0,2016,1336,Nate Solder,2016,28,2,"$20,062,000",10031000
Eugene Monroe,4931,T,JAX,80.5,77.7,1062,25.0,2016,1443,Eugene Monroe,2016,28,5,"$37,500,000",7500000
Trent Williams,5529,T,WAS,80.4,78.8,1025,26.0,2016,1370,Trent Williams,2016,28,5,"$68,000,000",13600000
Joe Thomas,3619,T,CLV,80.1,62.6,1031,28.0,2016,1982,Joe Thomas,2016,31,7,"$80,500,000",11500000
Jared Veldheer,5594,T,LV,79.7,72.8,1078,30.0,2016,1459,Jared Veldheer,2016,28,5,"$35,000,000",7000000
Alex Mack,4944,C,CLV,79.7,82.3,1031,30.0,2016,1014,Alex Mack,2016,30,5,"$45,000,000",9000000
Andy Levitre,4974,G,BUF,78.6,71.8,1011,34.0,2016,1576,Andy Levitre,2016,29,6,"$46,800,000",7800000
Mike Pouncey,6167,C,MIA,78.5,75.3,1032,36.0,2016,1335,Mike Pouncey,2016,26,5,"$44,750,000",8950000
Russell Okung,5531,T,SEA,78.4,70.8,1050,37.0,2016,1166,Russell Okung,2016,27,5,"$53,000,000",10600000
Donald Penn,3459,T,TB,78.1,77.4,1047,38.0,2016,1069,Donald Penn,2016,32,2,"$11,900,000",5950000
Branden Albert,4329,T,KC,78.0,64.9,705,39.0,2016,1399,Branden Albert,2016,31,5,"$47,000,000",9400000
Anthony Castonzo,6174,T,IND,77.8,84.0,1259,42.0,2016,1213,Anthony Castonzo,2016,28,4,"$43,812,000",10953000
John Greco,4379,G,CLV,77.6,82.7,691,44.0,2016,1660,John Greco,2016,31,4,"$6,420,000",1605000
Josh Sitton,4449,G,GB,77.4,73.1,1227,46.0,2016,1108,Josh Sitton,2016,30,3,"$21,000,000",7000000
Jahri Evans,3053,G,NO,77.4,72.1,1105,46.0,2016,1087,Jahri Evans,2016,32,1,"$1,065,000",1065000
Rodger Saffold,5558,T,LA,77.3,68.8,600,48.0,2016,1525,Rodger Saffold,2016,27,5,"$42,500,000",8500000
Chris Chester,3001,G,WAS,76.7,72.7,1088,49.0,2016,1044,Chris Chester,2016,33,1,"$2,350,000",2350000
Sebastian Vollmer,4981,T,NE,76.3,74.3,1248,52.0,2016,1716,Sebastian Vollmer,2016,31,4,"$16,750,000",4187500
Orlando Franklin,6198,T,DEN,76.2,76.0,1226,53.0,2016,1338,Orlando Franklin,2016,28,5,"$36,500,000",7300000
Fernando Velasco,4641,C,TEN,75.8,73.7,995,54.0,2016,1077,Fernando Velasco,2016,31,1,"$965,000",965000
Sam Baker,4335,T,ATL,75.5,65.2,1189,56.0,2016,1714,Sam Baker,2016,30,6,"$41,100,000",6850000
Maurkice Pouncey,5543,C,PIT,75.1,75.2,930,58.0,2016,1499,Maurkice Pouncey,2016,26,5,"$44,136,625",8827325
Gosder Cherilus,4331,T,DET,74.7,72.4,1198,61.0,2016,1268,Gosder Cherilus,2016,32,2,"$7,000,000",3500000
Zane Beadles,5570,G,DEN,74.2,72.1,1236,62.0,2016,1201,Zane Beadles,2016,29,3,"$9,750,000",3250000
Chris Hairston,6274,T,BUF,73.9,78.9,568,63.0,2016,1046,Chris Hairston,2016,26,2,"$2,900,000",1450000
Richie Incognito,2298,G,MIA,73.8,71.8,1027,64.0,2016,1162,Richie Incognito,2016,32,3,"$15,750,000",5250000
Nate Livings,3400,G,DAL,73.7,78.2,1094,65.0,2016,1869,Nate Livings,2016,33,5,"$18,750,000",3750000
Eric Winston,3011,T,KC,73.0,75.8,1051,69.0,2016,1074,Eric Winston,2016,32,1,"$1,090,000",1090000
Austin Howard,5847,T,NYJ,73.0,81.1,1073,69.0,2016,1396,Austin Howard,2016,28,5,"$30,000,000",6000000
Louis Vasquez,5001,G,LAC,72.9,63.7,1020,71.0,2016,1680,Louis Vasquez,2016,28,4,"$23,500,000",5875000
Mitchell Schwartz,7041,T,CLV,72.9,67.0,1031,71.0,2016,1151,Mitchell Schwartz,2016,26,5,"$33,000,000",6600000
Kraig Urbik,5002,G,BUF,72.7,67.7,783,74.0,2016,1120,Kraig Urbik,2016,30,2,"$2,500,000",1250000
Kelechi Osemele,7062,T,BLT,72.5,76.5,1299,76.0,2016,1113,Kelechi Osemele,2016,26,5,"$58,500,000",11700000
King Dunlap,4544,T,PHI,72.2,63.9,818,77.0,2016,1306,King Dunlap,2016,30,4,"$28,000,000",7000000
Jermon Bushrod,3741,T,NO,71.8,71.1,1103,78.0,2016,1095,Jermon Bushrod,2016,31,1,"$1,500,000",1500000
Matt Slauson,5117,G,NYJ,71.7,67.3,820,79.0,2016,1139,Matt Slauson,2016,30,2,"$4,000,000",2000000
Cordy Glenn,7045,T,BUF,71.1,70.8,803,82.0,2016,1053,Cordy Glenn,2016,26,5,"$60,000,000",12000000
Ramon Foster,5229,G,PIT,70.1,62.4,1010,86.0,2016,1159,Ramon Foster,2016,30,3,"$9,600,000",3200000
J'Marcus Webb,5741,T,CHI,69.6,66.6,1046,88.0,2016,1084,J'Marcus Webb,2016,27,2,"$5,750,000",2875000
Evan Smith,5390,C,GB,69.4,71.2,588,89.0,2016,1444,Evan Smith,2016,29,4,"$14,250,000",3562500
Manuel Ramirez,3733,G,DEN,69.4,65.2,829,89.0,2016,1133,Manuel Ramirez,2016,33,1,"$965,000",965000
Ben Jones,7099,G,HST,69.4,71.8,783,89.0,2016,1027,Ben Jones,2016,26,4,"$17,500,000",4375000
Clint Boling,6253,G,CIN,69.3,63.8,1104,92.0,2016,1240,Clint Boling,2016,26,5,"$26,000,000",5200000
Jeremy Zuttah,4397,G,TB,69.3,65.7,1018,92.0,2016,1468,Jeremy Zuttah,2016,29,3,"$12,250,000",4083333
Eric Wood,4951,C,BUF,68.5,61.3,872,96.0,2016,1442,Eric Wood,2016,29,4,"$25,400,000",6350000
Justin Blalock,3655,G,ATL,68.3,62.8,1189,99.0,2016,1988,Justin Blalock,2016,32,6,"$38,400,000",6400000
Stefen Wisniewski,6200,C,LV,68.1,59.3,1007,103.0,2016,1180,Stefen Wisniewski,2016,27,1,"$1,510,000",1510000
Demar Dotson,5410,T,TB,67.7,65.4,986,104.0,2016,1064,Demar Dotson,2016,30,3,"$16,500,000",5500000
Jake Long,4315,T,MIA,67.7,66.0,730,104.0,2016,1088,Jake Long,2016,31,1,"$885,000",885000
Marshall Newhouse,5692,T,GB,67.6,55.1,1229,107.0,2016,1318,Marshall Newhouse,2016,27,2,"$3,000,000",1500000
Michael Oher,4946,T,BLT,66.7,58.0,1340,109.0,2016,1145,Michael Oher,2016,30,3,"$21,600,000",7200000
Garry Williams,5341,G,CAR,66.4,67.0,606,114.0,2016,1080,Garry Williams,2016,29,1,"$760,000",760000
Mike Adams,7643,T,PIT,66.3,72.8,487,115.0,2016,1148,Mike Adams,2016,26,1,"$760,000",760000
Kory Lichtensteiger,4422,G,WAS,65.7,64.9,1019,117.0,2016,1674,Kory Lichtensteiger,2016,30,5,"$17,500,000",3500000
Mackenzy Bernadeau,4564,G,DAL,65.0,66.3,1101,121.0,2016,1131,Mackenzy Bernadeau,2016,30,2,"$3,000,000",1500000
Ted Larsen,5728,C,TB,64.5,62.9,843,123.0,2016,1184,Ted Larsen,2016,28,1,"$1,650,000",1650000
John Jerry,5598,G,MIA,64.5,59.2,1034,123.0,2016,1295,John Jerry,2016,29,2,"$3,300,000",1650000
Bobby Massie,7112,T,ARZ,63.7,72.3,1052,128.0,2016,1030,Bobby Massie,2016,26,3,"$18,000,000",6000000
Derek Newton,6366,T,HST,63.4,65.0,864,130.0,2016,1252,Derek Newton,2016,28,5,"$26,500,000",5300000
Breno Giacomini,4464,T,SEA,63.3,67.5,1144,131.0,2016,1402,Breno Giacomini,2016,30,4,"$18,000,000",4500000
Jah Reid,6237,G,BLT,63.3,64.3,568,131.0,2016,1273,Jah Reid,2016,28,3,"$10,200,000",3400000
Brandon Fusco,6324,G,MIN,63.2,66.1,943,133.0,2016,1223,Brandon Fusco,2016,27,5,"$24,250,000",4850000
Shawn Lauvao,5616,G,CLV,62.9,61.8,1031,136.0,2016,1536,Shawn Lauvao,2016,28,4,"$17,000,000",4250000
Jeff Allen,7642,G,KC,62.8,63.0,814,137.0,2016,1092,Jeff Allen,2016,26,4,"$28,000,000",7000000
Doug Free,3738,T,DAL,62.8,68.5,1022,137.0,2016,1255,Doug Free,2016,32,3,"$15,000,000",5000000
Zach Strief,3155,T,NO,62.5,61.7,786,140.0,2016,1565,Zach Strief,2016,32,5,"$20,000,000",4000000
Cameron Bradfield,6591,T,JAX,61.8,58.5,750,143.0,2016,1039,Cameron Bradfield,2016,28,1,"$760,000",760000
Byron Bell,6848,T,CAR,61.2,59.6,943,145.0,2016,1037,Byron Bell,2016,27,1,"$2,250,000",2250000
Khalif Barnes,2269,T,LV,60.7,60.3,558,146.0,2016,1118,Khalif Barnes,2016,34,1,"$985,000",985000
Mike Brisiel,3250,G,LV,60.3,61.1,961,147.0,2016,1862,Mike Brisiel,2016,33,5,"$20,000,000",4000000
Amini Silatolu,7044,G,CAR,59.5,65.9,882,148.0,2016,1016,Amini Silatolu,2016,27,1,"$760,000",760000
Jeff Linkenbach,5964,G,IND,59.4,58.1,856,149.0,2016,1093,Jeff Linkenbach,2016,28,1,"$810,000",810000
Dennis Kelly,7146,T,PHI,57.4,60.0,685,152.0,2016,1065,Dennis Kelly,2016,26,1,"$880,000",880000
Adam Snyder,2311,G,ARZ,55.2,51.5,866,155.0,2016,1742,Adam Snyder,2016,34,5,"$17,500,000",3500000
Evan Mathis,2296,G,PHI,92.8,92.9,1124,1.0,2015,1264,Evan Mathis,2015,33,1,"$3,250,000",3250000
Joe Staley,3644,T,SF,92.2,92.4,1152,2.0,2015,1828,Joe Staley,2015,27,6,"$44,650,000",7441667
Duane Brown,4340,T,HST,90.1,88.5,1265,3.0,2015,1797,Duane Brown,2015,29,6,"$53,400,000",8900000
Max Unger,4972,C,SEA,86.2,87.0,1115,4.0,2015,1687,Max Unger,2015,28,4,"$25,835,000",6458750
Logan Mankins,2249,G,NE,84.9,88.8,895,5.0,2015,1999,Logan Mankins,2015,33,6,"$51,000,000",8500000
Ryan Wendell,4602,C,NE,84.9,86.8,1383,5.0,2015,1531,Ryan Wendell,2015,28,2,"$6,850,000",3425000
Nick Mangold,2974,C,NYJ,84.8,84.0,1066,7.0,2015,2014,Nick Mangold,2015,30,7,"$54,075,000",7725000
John Sullivan,4501,C,MIN,84.7,83.9,1096,8.0,2015,1297,John Sullivan,2015,29,3,"$16,700,000",5566667
Marshal Yanda,3702,G,BLT,84.2,82.4,1194,10.0,2015,1317,Marshal Yanda,2015,31,4,"$31,917,647",7979412
Chris Myers,2417,C,HST,84.0,79.9,1284,11.0,2015,1768,Chris Myers,2015,33,4,"$25,000,000",6250000
Jon Asamoah,5593,G,KC,83.5,80.4,989,12.0,2015,1475,Jon Asamoah,2015,26,5,"$22,500,000",4500000
Alex Boone,5372,G,SF,82.4,81.8,1195,14.0,2015,1387,Alex Boone,2015,28,2,"$6,000,000",3000000
Mike Iupati,5542,G,SF,81.8,86.6,1173,17.0,2015,1333,Mike Iupati,2015,27,5,"$40,000,000",8000000
Ben Grubbs,3645,G,NO,81.6,80.4,1107,18.0,2015,1220,Ben Grubbs,2015,31,2,"$10,100,000",5050000
Andre Smith,4929,T,CIN,81.2,86.3,1095,19.0,2015,1574,Andre Smith,2015,28,3,"$18,000,000",6000000
Ryan Clady,4326,T,DEN,81.1,68.7,1206,20.0,2015,1708,Ryan Clady,2015,28,5,"$52,500,000",10500000
Nate Solder,6169,T,NE,81.0,80.7,1383,21.0,2015,1336,Nate Solder,2015,27,2,"$20,062,000",10031000
Kevin Boothe,3121,G,NYG,80.7,81.0,1012,23.0,2015,1482,Kevin Boothe,2015,31,2,"$2,625,000",1312500
Eugene Monroe,4931,T,JAX,80.5,77.7,1062,25.0,2015,1443,Eugene Monroe,2015,27,5,"$37,500,000",7500000
Trent Williams,5529,T,WAS,80.4,78.8,1025,26.0,2015,1370,Trent Williams,2015,27,5,"$68,000,000",13600000
Joe Thomas,3619,T,CLV,80.1,62.6,1031,28.0,2015,1982,Joe Thomas,2015,30,7,"$80,500,000",11500000
Jared Veldheer,5594,T,LV,79.7,72.8,1078,30.0,2015,1459,Jared Veldheer,2015,27,5,"$35,000,000",7000000
Alex Mack,4944,C,CLV,79.7,82.3,1031,30.0,2015,1388,Alex Mack,2015,29,5,"$42,000,000",8400000
D'Brickashaw Ferguson,2949,T,NYJ,79.0,68.8,1074,32.0,2015,2078,D'Brickashaw Ferguson,2015,31,6,"$60,000,000",10000000
Andy Levitre,4974,G,BUF,78.6,71.8,1011,34.0,2015,1576,Andy Levitre,2015,28,6,"$46,800,000",7800000
Mike Pouncey,6167,C,MIA,78.5,75.3,1032,36.0,2015,1335,Mike Pouncey,2015,25,5,"$44,750,000",8950000
Donald Penn,3459,T,TB,78.1,77.4,1047,38.0,2015,1435,Donald Penn,2015,31,2,"$9,600,000",4800000
Branden Albert,4329,T,KC,78.0,64.9,705,39.0,2015,1399,Branden Albert,2015,30,5,"$47,000,000",9400000
Todd Herremans,2343,T,PHI,77.9,85.9,529,40.0,2015,1366,Todd Herremans,2015,32,1,"$2,250,000",2250000
Tyson Clabo,2011,T,ATL,77.9,82.3,1179,40.0,2015,1554,Tyson Clabo,2015,33,2,"$2,400,000",1200000
Anthony Castonzo,6174,T,IND,77.8,84.0,1259,42.0,2015,1213,Anthony Castonzo,2015,27,4,"$43,812,000",10953000
Will Montgomery,3179,C,WAS,77.7,74.3,1082,43.0,2015,1378,Will Montgomery,2015,32,1,"$950,000",950000
John Greco,4379,G,CLV,77.6,82.7,691,44.0,2015,1660,John Greco,2015,30,4,"$6,420,000",1605000
Josh Sitton,4449,G,GB,77.4,73.1,1227,46.0,2015,1987,Josh Sitton,2015,29,5,"$33,750,000",6750000
Jahri Evans,3053,G,NO,77.4,72.1,1105,46.0,2015,1274,Jahri Evans,2015,31,3,"$18,003,000",6001000
Rodger Saffold,5558,T,LA,77.3,68.8,600,48.0,2015,1525,Rodger Saffold,2015,26,5,"$42,500,000",8500000
Chris Chester,3001,G,WAS,76.7,72.7,1088,49.0,2015,1235,Chris Chester,2015,32,1,"$2,800,000",2800000
Sebastian Vollmer,4981,T,NE,76.3,74.3,1248,52.0,2015,1716,Sebastian Vollmer,2015,30,4,"$16,750,000",4187500
Orlando Franklin,6198,T,DEN,76.2,76.0,1226,53.0,2015,1338,Orlando Franklin,2015,27,5,"$36,500,000",7300000
Fernando Velasco,4641,C,TEN,75.8,73.7,995,54.0,2015,1265,Fernando Velasco,2015,30,1,"$1,200,000",1200000
Andrew Whitworth,3000,T,CIN,75.7,59.4,1042,55.0,2015,1212,Andrew Whitworth,2015,33,1,"$9,000,000",9000000
Sam Baker,4335,T,ATL,75.5,65.2,1189,56.0,2015,1714,Sam Baker,2015,29,6,"$41,100,000",6850000
Maurkice Pouncey,5543,C,PIT,75.1,75.2,930,58.0,2015,1499,Maurkice Pouncey,2015,25,5,"$44,136,625",8827325
Gosder Cherilus,4331,T,DET,74.7,72.4,1198,61.0,2015,1268,Gosder Cherilus,2015,31,2,"$7,000,000",3500000
Zane Beadles,5570,G,DEN,74.2,72.1,1236,62.0,2015,1566,Zane Beadles,2015,28,5,"$30,000,000",6000000
Chris Hairston,6274,T,BUF,73.9,78.9,568,63.0,2015,1236,Chris Hairston,2015,25,1,"$685,000",685000
Richie Incognito,2298,G,MIA,73.8,71.8,1027,64.0,2015,1344,Richie Incognito,2015,31,1,"$1,100,000",1100000
Nate Livings,3400,G,DAL,73.7,78.2,1094,65.0,2015,1869,Nate Livings,2015,32,5,"$18,750,000",3750000
David Baas,2250,C,NYG,73.4,76.3,1003,67.0,2015,1959,David Baas,2015,33,5,"$27,500,000",5500000
Eric Winston,3011,T,KC,73.0,75.8,1051,69.0,2015,1262,Eric Winston,2015,31,1,"$950,000",950000
Austin Howard,5847,T,NYJ,73.0,81.1,1073,69.0,2015,1396,Austin Howard,2015,27,5,"$30,000,000",6000000
Louis Vasquez,5001,G,LAC,72.9,63.7,1020,71.0,2015,1680,Louis Vasquez,2015,27,4,"$23,500,000",5875000
Kraig Urbik,5002,G,BUF,72.7,67.7,783,74.0,2015,1675,Kraig Urbik,2015,29,4,"$14,600,000",3650000
King Dunlap,4544,T,PHI,72.2,63.9,818,77.0,2015,1306,King Dunlap,2015,29,4,"$28,000,000",7000000
Jermon Bushrod,3741,T,NO,71.8,71.1,1103,78.0,2015,1653,Jermon Bushrod,2015,30,5,"$35,965,000",7193000
Matt Slauson,5117,G,NYJ,71.7,67.3,820,79.0,2015,1497,Matt Slauson,2015,28,4,"$12,800,000",3200000
Ramon Foster,5229,G,PIT,70.1,62.4,1010,86.0,2015,1699,Ramon Foster,2015,29,3,"$5,500,000",1833333
J'Marcus Webb,5741,T,CHI,69.6,66.6,1046,88.0,2015,1270,J'Marcus Webb,2015,26,1,"$745,000",745000
Evan Smith,5390,C,GB,69.4,71.2,588,89.0,2015,1444,Evan Smith,2015,28,4,"$14,250,000",3562500
Clint Boling,6253,G,CIN,69.3,63.8,1104,92.0,2015,1240,Clint Boling,2015,25,5,"$26,000,000",5200000
Jeremy Zuttah,4397,G,TB,69.3,65.7,1018,92.0,2015,1468,Jeremy Zuttah,2015,28,3,"$12,250,000",4083333
Willie Colon,3076,G,PIT,68.5,70.7,711,96.0,2015,1379,Willie Colon,2015,31,1,"$950,000",950000
Uche Nwaneri,3765,G,JAX,68.5,69.4,926,96.0,2015,2152,Uche Nwaneri,2015,30,6,"$25,101,000",4183500
Eric Wood,4951,C,BUF,68.5,61.3,872,96.0,2015,1442,Eric Wood,2015,28,4,"$25,400,000",6350000
Justin Blalock,3655,G,ATL,68.3,62.8,1189,99.0,2015,1988,Justin Blalock,2015,31,6,"$38,400,000",6400000
John Moffitt,6227,G,SEA,68.2,66.2,461,101.0,2015,1296,John Moffitt,2015,28,1,"$660,000",660000
Dallas Reynolds,5241,C,PHI,68.2,68.0,991,101.0,2015,1244,Dallas Reynolds,2015,30,1,"$700,000",700000
Stefen Wisniewski,6200,C,LV,68.1,59.3,1007,103.0,2015,1359,Stefen Wisniewski,2015,26,1,"$2,500,000",2500000
Demar Dotson,5410,T,TB,67.7,65.4,986,104.0,2015,1616,Demar Dotson,2015,29,3,"$4,500,000",1500000
Jake Long,4315,T,MIA,67.7,66.0,730,104.0,2015,1275,Jake Long,2015,29,1,"$1,568,750",1568750
T.J. Lang,5032,G,GB,67.7,65.7,1124,104.0,2015,1911,T.J. Lang,2015,27,4,"$20,800,000",5200000
Marshall Newhouse,5692,T,GB,67.6,55.1,1229,107.0,2015,1318,Marshall Newhouse,2015,26,2,"$3,000,000",1500000
Tyronne Green,5057,G,LAC,66.8,63.5,735,108.0,2015,1374,Tyronne Green,2015,28,1,"$745,000",745000
Michael Oher,4946,T,BLT,66.7,58.0,1340,109.0,2015,1327,Michael Oher,2015,28,2,"$7,000,000",3500000
Paul McQuistan,3014,G,SEA,66.6,64.5,1130,110.0,2015,1516,Paul McQuistan,2015,31,2,"$3,000,000",1500000
Daryn Colledge,2992,G,ARZ,66.5,61.6,1052,112.0,2015,1958,Daryn Colledge,2015,33,5,"$27,500,000",5500000
Lyle Sendlein,4062,C,ARZ,65.7,57.9,756,117.0,2015,1312,Lyle Sendlein,2015,31,1,"$2,000,000",2000000
Kory Lichtensteiger,4422,G,WAS,65.7,64.9,1019,117.0,2015,1674,Kory Lichtensteiger,2015,29,5,"$17,500,000",3500000
Mackenzy Bernadeau,4564,G,DAL,65.0,66.3,1101,121.0,2015,1489,Mackenzy Bernadeau,2015,28,2,"$3,100,000",1550000
Roberto Garza,856,C,CHI,64.8,60.6,1046,122.0,2015,1347,Roberto Garza,2015,34,1,"$1,500,000",1500000
Ted Larsen,5728,C,TB,64.5,62.9,843,123.0,2015,1544,Ted Larsen,2015,27,2,"$2,600,000",1300000
John Jerry,5598,G,MIA,64.5,59.2,1034,123.0,2015,1295,John Jerry,2015,28,2,"$3,300,000",1650000
Charlie Johnson,3144,G,MIN,63.8,61.7,1093,126.0,2015,1414,Charlie Johnson,2015,30,2,"$5,000,000",2500000
Scott Wells,1965,C,LA,63.8,59.8,421,126.0,2015,1535,Scott Wells,2015,33,2,"$7,250,000",3625000
Lance Louis,5170,G,CHI,63.7,57.1,692,128.0,2015,1487,Lance Louis,2015,29,2,"$1,475,000",737500
Derek Newton,6366,T,HST,63.4,65.0,864,130.0,2015,1252,Derek Newton,2015,27,5,"$26,500,000",5300000
Breno Giacomini,4464,T,SEA,63.3,67.5,1144,131.0,2015,1402,Breno Giacomini,2015,29,4,"$18,000,000",4500000
Jah Reid,6237,G,BLT,63.3,64.3,568,131.0,2015,1273,Jah Reid,2015,27,3,"$10,200,000",3400000
Jamon Meredith,5086,G,TB,63.2,63.9,795,133.0,2015,1458,Jamon Meredith,2015,28,2,"$3,000,000",1500000
Brandon Fusco,6324,G,MIN,63.2,66.1,943,133.0,2015,1223,Brandon Fusco,2015,26,5,"$24,250,000",4850000
Shawn Lauvao,5616,G,CLV,62.9,61.8,1031,136.0,2015,1536,Shawn Lauvao,2015,27,4,"$17,000,000",4250000
Doug Free,3738,T,DAL,62.8,68.5,1022,137.0,2015,1255,Doug Free,2015,31,3,"$15,000,000",5000000
Zach Strief,3155,T,NO,62.5,61.7,786,140.0,2015,1565,Zach Strief,2015,31,5,"$20,000,000",4000000
Cameron Bradfield,6591,T,JAX,61.8,58.5,750,143.0,2015,1232,Cameron Bradfield,2015,27,1,"$745,000",745000
Tyler Polumbus,4581,T,WAS,61.6,66.7,992,144.0,2015,1373,Tyler Polumbus,2015,30,1,"$870,000",870000
Byron Bell,6848,T,CAR,61.2,59.6,943,145.0,2015,1229,Byron Bell,2015,26,1,"$1,500,000",1500000
Khalif Barnes,2269,T,LV,60.7,60.3,558,146.0,2015,1305,Khalif Barnes,2015,29,1,"$1,500,000",1500000
Mike Brisiel,3250,G,LV,60.3,61.1,961,147.0,2015,1862,Mike Brisiel,2015,32,5,"$20,000,000",4000000
Jeff Linkenbach,5964,G,IND,59.4,58.1,856,149.0,2015,1285,Jeff Linkenbach,2015,27,1,"$745,000",745000
Mike McGlynn,4423,G,IND,59.4,58.3,1258,149.0,2015,1334,Mike McGlynn,2015,30,1,"$900,000",900000
Dennis Kelly,7146,T,PHI,57.4,60.0,685,152.0,2015,1249,Dennis Kelly,2015,25,1,"$790,000",790000
Adam Snyder,2311,G,ARZ,55.2,51.5,866,155.0,2015,1742,Adam Snyder,2015,33,5,"$17,500,000",3500000
Mike Brewster,7364,G,JAX,54.4,64.3,548,157.0,2015,1330,Mike Brewster,2015,25,1,"$585,000",585000
Evan Mathis,2296,G,PHI,92.8,92.9,1124,1.0,2014,1802,Evan Mathis,2014,32,5,"$25,500,000",5100000
Joe Staley,3644,T,SF,92.2,92.4,1152,2.0,2014,1828,Joe Staley,2014,26,6,"$44,650,000",7441667
Duane Brown,4340,T,HST,90.1,88.5,1265,3.0,2014,1797,Duane Brown,2014,28,6,"$53,400,000",8900000
Max Unger,4972,C,SEA,86.2,87.0,1115,4.0,2014,1687,Max Unger,2014,27,4,"$25,835,000",6458750
Logan Mankins,2249,G,NE,84.9,88.8,895,5.0,2014,1999,Logan Mankins,2014,32,6,"$51,000,000",8500000
Ryan Wendell,4602,C,NE,84.9,86.8,1383,5.0,2014,1531,Ryan Wendell,2014,27,2,"$6,850,000",3425000
Nick Mangold,2974,C,NYJ,84.8,84.0,1066,7.0,2014,2014,Nick Mangold,2014,29,7,"$54,075,000",7725000
John Sullivan,4501,C,MIN,84.7,83.9,1096,8.0,2014,1830,John Sullivan,2014,28,5,"$24,500,000",4900000
Brian De La Puente,4679,C,NO,84.4,83.4,1107,9.0,2014,1404,Brian De La Puente,2014,28,1,"$795,001",795001
Marshal Yanda,3702,G,BLT,84.2,82.4,1194,10.0,2014,2003,Marshal Yanda,2014,29,5,"$32,000,000",6400000
Chris Myers,2417,C,HST,84.0,79.9,1284,11.0,2014,1768,Chris Myers,2014,32,4,"$25,000,000",6250000
Jon Asamoah,5593,G,KC,83.5,80.4,989,12.0,2014,1475,Jon Asamoah,2014,25,5,"$22,500,000",4500000
Alex Boone,5372,G,SF,82.4,81.8,1195,14.0,2014,1387,Alex Boone,2014,27,2,"$6,000,000",3000000
Matt Birk,404,C,BLT,82.2,83.3,1299,15.0,2014,1853,Matt Birk,2014,37,3,"$8,525,000",2841667
Ben Grubbs,3645,G,NO,81.6,80.4,1107,18.0,2014,1752,Ben Grubbs,2014,30,5,"$36,000,000",7200000
Andre Smith,4929,T,CIN,81.2,86.3,1095,19.0,2014,1574,Andre Smith,2014,27,3,"$18,000,000",6000000
Ryan Clady,4326,T,DEN,81.1,68.7,1206,20.0,2014,1708,Ryan Clady,2014,27,5,"$52,500,000",10500000
Jordan Gross,1324,T,CAR,80.9,80.4,1024,22.0,2014,2202,Jordan Gross,2014,33,6,"$56,400,000",9400000
Kevin Boothe,3121,G,NYG,80.7,81.0,1012,23.0,2014,1482,Kevin Boothe,2014,30,2,"$2,625,000",1312500
Eugene Monroe,4931,T,JAX,80.5,77.7,1062,25.0,2014,1443,Eugene Monroe,2014,26,5,"$37,500,000",7500000
Joe Thomas,3619,T,CLV,80.1,62.6,1031,28.0,2014,1982,Joe Thomas,2014,29,7,"$80,500,000",11500000
Jared Veldheer,5594,T,LV,79.7,72.8,1078,30.0,2014,1459,Jared Veldheer,2014,26,5,"$35,000,000",7000000
Alex Mack,4944,C,CLV,79.7,82.3,1031,30.0,2014,1388,Alex Mack,2014,28,5,"$42,000,000",8400000
D'Brickashaw Ferguson,2949,T,NYJ,79.0,68.8,1074,32.0,2014,2078,D'Brickashaw Ferguson,2014,30,6,"$60,000,000",10000000
